ISO3,year,gen_govtax_GDP,source,nGDP,gen_govtax
AFG,2005,2.882165,Derived using data on general government tax revenue to GDP from ADB and the spliced GDP,320476.5,9236.661
AFG,2006,7.125222,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,364100.1,25942.94
AFG,2007,6.085217,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,499587,30400.96
AFG,2008,6.10163,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,517377.4,31568.46
AFG,2009,8.706008,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,600457.8,52275.91
AFG,2010,9.428106,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,703502.6,66326.97
AFG,2011,9.181273,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,837851.3,76925.41
AFG,2012,7.741053,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1007959,78026.63
AFG,2013,7.26605,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1102256,80090.5
AFG,2014,6.843885,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1116353,76401.9
AFG,2015,7.5618,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1143357,86458.34
AFG,2016,8.846468,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1236815,109414.5
AFG,2017,9.247727,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1294845,119743.7
AFG,2018,9.455128,Derived using data on general government tax revenue to GDP from ADB and the spliced GDP,1359225,128516.4
AFG,2019,8.360591,Derived using data on general government tax revenue to GDP from ADB and the spliced GDP,1505967,125907.8
AFG,2020,7.46868,Derived using data on general government tax revenue to GDP from ADB and the spliced GDP,1534966,114641.7
AGO,2018,9.928881,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2.56e+07,2544548
AGO,2019,11.28885,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3.03e+07,3423957
AGO,2020,20.51761,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3.17e+07,6504240
AGO,2021,10.70333,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,4.41e+07,4724600
AGO,2022,12.72829,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,5.22e+07,6642129
AGO,2023,9.242218,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,6.20e+07,5732954
ALB,2005,18.02354,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,824594.6,148621.1
ALB,2006,18.71675,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,897697.7,168019.8
ALB,2007,19.05995,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1005281,191606.1
ALB,2008,19.85576,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1112317,220859
ALB,2009,19.68641,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1171607,230647.3
ALB,2010,18.95035,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1256235,238061
ALB,2011,18.76128,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1308998,245584.7
ALB,2012,18.11008,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1324877,239936.4
ALB,2013,17.1145,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1352247,231430.2
ALB,2014,19.01316,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1402496,266658.8
ALB,2015,19.15853,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1444802,276802.8
ALB,2016,18.33358,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1488303,272859.3
ALB,2017,19.79038,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1579056,312501.1
ALB,2018,19.58935,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1660820,325343.9
ALB,2019,19.24259,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1712037,329440.2
ALB,2020,18.05603,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1655985,299005.1
ALB,2021,19.34927,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1866672,361187.3
ALB,2022,19.20296,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2149742,412814
ALB,2023,19.33496,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2364276,457131.9
AND,2018,15.46245,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2725.27,421.3935
AND,2019,15.2259,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2818.422,429.1302
AND,2020,14.45771,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2531.087,365.9372
AND,2021,14.84676,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2810.965,417.3372
AND,2022,16.69284,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3210.31,535.8921
AND,2023,15.89099,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3500.58,556.2768
ARE,2011,21.03272,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1325158,278716.8
ARE,2012,21.85305,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1412481,308670.1
ARE,2013,21.42301,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1469803,314875.9
ARE,2014,18.12348,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1520802,275622.3
ARE,2015,11.76843,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1359837,160031.4
ARE,2016,8.007421,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1356090,108587.9
ARE,2017,11.31334,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1434173,162252.9
ARE,2018,13.58342,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1568339,213034.1
ARE,2019,14.88795,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1535067,228540
ARE,2020,11.77963,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1283440,151184.5
ARE,2021,13.02293,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1524744,198566.3
ARE,2022,17.61568,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1846283,325235.4
ARE,2023,16.79825,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1888144,317175.2
ARG,2002,15.12938,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,338745.9,51250.16
ARG,2003,18.20093,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,407376.3,74146.28
ARG,2004,21.12829,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,485115.2,102496.6
ARM,2000,14.79153,Derived using data on general government tax revenue to GDP from ADB and the spliced GDP,1099842,162683.5
ARM,2001,14.35601,Derived using data on general government tax revenue to GDP from ADB and the spliced GDP,1253982,180021.7
ARM,2002,14.57784,Derived using data on general government tax revenue to GDP from ADB and the spliced GDP,1452971,211811.7
ARM,2003,13.99979,Derived using data on general government tax revenue to GDP from ADB and the spliced GDP,1732556,242554.2
ARM,2004,14.45262,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2034676,294063.9
ARM,2005,14.75774,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2391859,352984.3
ARM,2006,14.80935,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2832621,419492.8
ARM,2007,16.36806,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3358467,549715.7
ARM,2008,17.70871,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3805239,673858.6
ARM,2009,17.06365,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3350328,571688.4
ARM,2010,17.61566,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3690038,650024.8
ARM,2011,17.73577,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,4028887,714553.9
ARM,2012,17.96032,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,4266461,766270
ARM,2013,22.04985,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,4555638,1004511
ARM,2014,22.08018,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,4828627,1066169
ARM,2015,21.57493,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,5043633,1088160
ARM,2016,21.7615,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,5067294,1102719
ARM,2017,21.2609,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,5564494,1183061
ARM,2018,21.30656,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,6017035,1282023
ARM,2019,22.75939,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,6543322,1489220
ARM,2020,22.33672,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,6181903,1380834
ARM,2021,22.51159,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,6991778,1573961
ARM,2022,22.29962,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,8501449,1895791
ARM,2023,23.00005,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,9505222,2186206
AUS,1850,1.888372,Derived using data on general government tax revenue to GDP from CS2 and the spliced GDP,39.46145,.7451792
AUS,1851,3.692487,Derived using data on general government tax revenue to GDP from CS2 and the spliced GDP,45.96942,1.697415
AUS,1852,2.727041,Derived using data on general government tax revenue to GDP from CS2 and the spliced GDP,79.47443,2.1673
AUS,1853,3.598374,Derived using data on general government tax revenue to GDP from CS2 and the spliced GDP,134.2406,4.83048
AUS,1854,3.659878,Derived using data on general government tax revenue to GDP from CS2 and the spliced GDP,172.8472,6.325997
AUS,1855,4.446582,Derived using data on general government tax revenue to GDP from CS2 and the spliced GDP,185.4771,8.247392
AUS,1856,5.354187,Derived using data on general government tax revenue to GDP from CS2 and the spliced GDP,185.9735,9.957366
AUS,1857,4.942379,Derived using data on general government tax revenue to GDP from CS2 and the spliced GDP,193.0054,9.539056
AUS,1858,5.054399,Derived using data on general government tax revenue to GDP from CS2 and the spliced GDP,201.3334,10.17619
AUS,1859,4.573083,Derived using data on general government tax revenue to GDP from CS2 and the spliced GDP,212.5844,9.721663
AUS,1860,4.347095,Derived using data on general government tax revenue to GDP from CS2 and the spliced GDP,225.5728,9.805862
AUS,1861,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,231.8326,
AUS,1862,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,232.4944,
AUS,1863,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,230.0401,
AUS,1864,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,231.7774,
AUS,1865,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,236.8514,
AUS,1866,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,248.9022,
AUS,1867,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,260.429,
AUS,1868,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,270.0531,
AUS,1869,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,278.6017,
AUS,1870,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,287.8673,
AUS,1871,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,291.7004,
AUS,1872,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,313.5406,
AUS,1873,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,367.5072,
AUS,1874,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,396.5172,
AUS,1875,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,414.6624,
AUS,1876,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,429.1674,
AUS,1877,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,432.4766,
AUS,1878,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,447.147,
AUS,1879,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,461.1282,
AUS,1880,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,474.7508,
AUS,1881,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,500.2587,
AUS,1882,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,527.1454,
AUS,1883,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,568.2063,
AUS,1884,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,593.5212,
AUS,1885,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,608.9087,
AUS,1886,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,624.4616,
AUS,1887,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,651.5138,
AUS,1888,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,693.6226,
AUS,1889,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,738.6819,
AUS,1890,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,762.0941,
AUS,1891,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,744.9693,
AUS,1892,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,683.4745,
AUS,1893,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,594.4036,
AUS,1894,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,553.1773,
AUS,1895,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,531.6955,
AUS,1896,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,552.6534,
AUS,1897,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,576.0655,
AUS,1898,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,608.3847,
AUS,1899,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,658.5181,
AUS,1900,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,678.9521,
AUS,1901,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,695.6908,
AUS,1902,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,737.1928,
AUS,1903,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,710.6371,
AUS,1904,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,743.8387,
AUS,1905,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,737.1928,
AUS,1906,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,795.3234,
AUS,1907,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,893.2737,
AUS,1908,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,889.9647,
AUS,1909,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,951.3767,
AUS,1910,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1034.408,
AUS,1911,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1135.696,
AUS,1912,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1218.7,
AUS,1913,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1331.624,
AUS,1914,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1434.566,
AUS,1915,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1391.382,
AUS,1916,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1608.902,
AUS,1917,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1696.897,
AUS,1918,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1763.301,
AUS,1919,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1901.126,
AUS,1920,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2080.427,
AUS,1921,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2294.61,
AUS,1922,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2287.992,
AUS,1923,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2507.14,
AUS,1924,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2605.118,
AUS,1925,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2859.094,
AUS,1926,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2754.58,
AUS,1927,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2870.676,
AUS,1928,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2887.497,
AUS,1929,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2842.548,
AUS,1930,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2600.154,
AUS,1931,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2136.875,
AUS,1932,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2008.922,
AUS,1933,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2098.82,
AUS,1934,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2251.316,
AUS,1935,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2377.615,
AUS,1936,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2613.39,
AUS,1937,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2850.821,
AUS,1938,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3083.288,
AUS,1939,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3020.138,
AUS,1940,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3287.627,
AUS,1941,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,3561.458,
AUS,1942,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,4145.796,
AUS,1943,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,4745.302,
AUS,1944,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,4823.342,
AUS,1945,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,4718.828,
AUS,1946,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,4873.255,
AUS,1947,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,5182.107,
AUS,1948,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,6221.453,
AUS,1949,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,7179.999,
AUS,1950,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,8472.769,
AUS,1951,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,9285.98,
AUS,1952,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,9724.984,
AUS,1953,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,10612.75,
AUS,1954,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,11555.69,
AUS,1955,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,12534.6,
AUS,1956,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,13454.65,
AUS,1957,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,13661.25,
AUS,1958,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,14792.66,
AUS,1959,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,16371.63,
AUS,1960,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,17316,
AUS,1961,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,17477,
AUS,1962,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,18555,
AUS,1963,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,20254,
AUS,1964,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,22242,
AUS,1965,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,23912,
AUS,1966,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,25585,
AUS,1967,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,28321,
AUS,1968,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,30898,
AUS,1969,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,34721,
AUS,1970,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,38604,
AUS,1971,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,42670,
AUS,1972,21.07477,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,46780,9858.775
AUS,1973,19.44094,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,55240,10739.17
AUS,1974,20.73025,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,65972,13676.16
AUS,1975,22.98005,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,77011,17697.17
AUS,1976,23.47127,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,90441,21227.65
AUS,1977,24.55491,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,100677,24721.15
AUS,1978,24.06914,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,111097,26740.1
AUS,1979,23.08123,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,127505,29429.72
AUS,1980,23.71668,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,143846,34115.5
AUS,1981,24.4394,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,164648,40238.98
AUS,1982,25.33564,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,183878,46586.67
AUS,1983,25.69366,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,199108,51158.13
AUS,1984,24.97655,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,224873,56165.51
AUS,1985,26.23099,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,249741,65509.53
AUS,1986,26.75327,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,271730,72696.66
AUS,1987,26.86679,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,305634,82114.05
AUS,1988,26.87145,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,345703,92895.4
AUS,1989,26.75865,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,388910,104067.1
AUS,1990,27.32415,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,413639,113023.4
AUS,1991,28.09064,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,416635,117035.4
AUS,1992,26.16512,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,432300,113111.8
AUS,1993,25.60313,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,455183,116541.1
AUS,1994,25.62152,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,482674,123668.4
AUS,1995,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,512080,
AUS,1996,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,543197,
AUS,1997,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,573428,
AUS,1998,,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,605254,
AUS,1999,28.22569,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,638239,180147.4
AUS,2000,28.55531,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,687695,196373.4
AUS,2001,29.40583,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,730883,214922.2
AUS,2002,27.86744,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,782955,218189.5
AUS,2003,28.72242,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,830775,238618.7
AUS,2004,28.78956,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,895202,257724.7
AUS,2005,28.90756,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,964944,278941.8
AUS,2006,28.66266,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1040321,298183.7
AUS,2007,28.25327,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1133965,320382.2
AUS,2008,28.19421,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1236693,348675.8
AUS,2009,26.78848,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1263823,338558.9
AUS,2010,24.39893,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1366328,333369.5
AUS,2011,24.41942,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1469072,358738.8
AUS,2012,25.68139,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1516083,389351.1
AUS,2013,26.41188,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1569948,414652.8
AUS,2014,26.81698,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1614274,432899.5
AUS,2015,27.09506,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1640094,444384.4
AUS,2016,27.29794,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1700005,464066.3
AUS,2017,27.01763,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1803571,487282.1
AUS,2018,27.91846,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1898400,530004.1
AUS,2019,28.11585,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1997461,561603.1
AUS,2020,27.99624,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,1979146,554086.4
AUS,2021,27.08252,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2206350,597535.2
AUS,2022,27.89082,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,2481141,692010.6
AUS,2023,28.11332,Derived using data on general government tax revenue to GDP from ADB and the spliced GDP,2619922,736546.9
AUT,1972,26.03642,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,36922.83,9613.384
AUT,1973,26.17009,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,41844.44,10950.73
AUT,1974,26.78648,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,47626.86,12757.56
AUT,1975,26.50862,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,50518.07,13391.64
AUT,1976,26.34534,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,55802.72,14701.42
AUT,1977,26.32615,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,61685.88,16239.52
AUT,1978,27.27952,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,65245,17798.52
AUT,1979,27.00891,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,71568.19,19329.79
AUT,1980,27.01351,Derived using data on general government tax revenue to GDP from IMF_GFS and the spliced GDP,76870.49,20765.42
