ISO3,year,cgovtax_GDP,source,nGDP,cgovtax
AFG,2006,7.012556,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,364100.1,25532.72
AFG,2007,5.999345,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,499587,29971.95
AFG,2008,6.058997,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,517377.4,31347.88
AFG,2009,8.544127,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,600457.8,51303.88
AFG,2010,9.356195,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,703502.6,65821.08
AFG,2011,9.06741,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,837851.3,75971.41
AFG,2012,7.672027,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1007959,77330.88
AFG,2013,7.262972,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1102256,80056.58
AFG,2014,6.840275,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1116353,76361.59
AFG,2015,7.555844,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1143357,86390.24
AFG,2016,8.813914,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1236815,109011.8
AFG,2017,9.236835,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1294845,119602.7
AGO,2018,9.928881,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2.56e+07,2544548
AGO,2019,11.28885,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,3.03e+07,3423957
AGO,2020,20.51761,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,3.17e+07,6504240
AGO,2021,10.70333,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,4.41e+07,4724600
AGO,2022,12.72829,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,5.22e+07,6642129
AGO,2023,9.242218,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,6.20e+07,5732954
ALB,1998,14.56893,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,393070,57266.09
ALB,1999,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,453512.3,
ALB,2000,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,516206.8,
ALB,2001,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,583125.1,
ALB,2002,16.48424,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,633932.6,104498.9
ALB,2003,17.19615,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,700711.6,120495.4
ALB,2004,17.96509,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,760444.8,136614.6
ALB,2005,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,824594.6,
ALB,2006,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,897697.7,
ALB,2007,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1005281,
ALB,2008,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1112317,
ALB,2009,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1171607,
ALB,2010,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1256235,
ALB,2011,18.02201,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1308998,235907.8
ALB,2012,17.48279,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1324877,231625.6
ALB,2013,16.50328,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1352247,223165
ALB,2014,18.30194,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1402496,256684
ALB,2015,18.5158,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1444802,267516.6
ALB,2016,17.59023,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1488303,261796
ALB,2017,18.88749,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1579056,298243.9
ALB,2018,18.54597,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1660820,308015.2
ALB,2019,18.14438,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1712037,310638.4
ALB,2020,16.98326,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1655985,281240.1
ALB,2021,18.1986,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1866672,339708
ALB,2022,18.15708,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2149742,390330.3
ALB,2023,18.20005,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2364276,430299.3
AND,2018,14.122,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2725.27,384.8627
AND,2019,13.7653,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2818.422,387.9642
AND,2020,12.65872,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2531.087,320.4032
AND,2021,13.1107,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2810.965,368.5372
AND,2022,14.98604,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,3210.31,481.0985
AND,2023,14.15999,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,3500.58,495.6816
ARE,2011,.0527288,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1325158,698.7407
ARE,2012,.0607124,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1412481,857.5503
ARE,2013,.07692,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1469803,1130.572
ARE,2014,.0658084,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1520802,1000.815
ARE,2015,.0814013,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1359837,1106.924
ARE,2016,.0501469,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1356090,680.0366
ARE,2017,.0656214,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1434173,941.1244
ARE,2018,.0586389,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1568339,919.6563
ARE,2019,.9722384,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1535067,14924.51
ARE,2020,.6820883,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1283440,8754.191
ARE,2021,.5352437,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1524744,8161.097
ARE,2022,.5785077,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1846283,10680.89
ARE,2023,.6268694,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1888144,11836.2
ARG,2002,7.257984,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,338745.9,24586.12
ARG,2003,9.427839,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,407376.3,38406.79
ARG,2004,10.93988,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,485115.2,53071.04
ARG,2005,10.9141,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,582538.2,63578.8
ARG,2006,10.75884,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,715904.3,77023
ARG,2007,10.35509,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,896980.2,92883.1
ARG,2008,11.27629,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1149646,129637.4
ARG,2009,10.34727,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1247929,129126.6
ARG,2010,10.7949,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1661721,179381.2
ARG,2011,10.57069,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2179024,230338
ARG,2012,10.71439,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2637914,282636.3
ARG,2013,10.22501,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,3348309,342365
ARG,2014,10.35921,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,4579087,474357.4
ARG,2015,9.982732,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,5954511,594422.9
ARG,2016,8.727927,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,8228160,718147.8
ARG,2017,8.396081,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1.07e+07,895041.4
ARG,2018,7.161506,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1.47e+07,1055951
ARG,2019,7.796274,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2.16e+07,1680755
ARG,2020,7.880855,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2.72e+07,2144366
ARG,2021,8.659128,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,4.62e+07,4002170
ARG,2022,8.424643,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,8.27e+07,6963205
ARG,2023,7.120998,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1.91e+08,1.36e+07
ARM,2004,13.99641,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2034676,284781.5
ARM,2005,14.33566,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2391859,342888.9
ARM,2006,14.39756,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2832621,407828.5
ARM,2007,15.99409,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,3358467,537156.4
ARM,2008,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,3805239,
ARM,2009,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,3350328,
ARM,2010,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,3690038,
ARM,2011,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,4028887,
ARM,2012,,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,4266461,
ARM,2013,21.58621,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,4555638,983389.8
ARM,2014,21.59917,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,4828627,1042943
ARM,2015,20.93122,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,5043633,1055694
ARM,2016,21.27738,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,5067294,1078187
ARM,2017,20.78065,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,5564494,1156338
ARM,2018,20.8701,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,6017035,1255762
ARM,2019,22.28517,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,6543322,1458191
ARM,2020,21.86042,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,6181903,1351390
ARM,2021,22.00101,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,6991778,1538262
ARM,2022,21.82716,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,8501449,1855625
ARM,2023,22.48186,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,9505222,2136951
AUS,1901,3.923923,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,695.6908,27.29837
AUS,1902,3.660184,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,737.1928,26.98261
AUS,1903,3.562146,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,710.6371,25.31393
AUS,1904,3.290931,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,743.8387,24.47922
AUS,1905,3.396047,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,737.1928,25.03541
AUS,1906,3.392738,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,795.3234,26.98324
AUS,1907,3.605649,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,893.2737,32.20831
AUS,1908,3.375772,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,889.9647,30.04318
AUS,1909,3.391701,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,951.3767,32.26785
AUS,1910,3.630445,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,1034.408,37.55363
AUS,1911,3.57611,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,1135.696,40.61372
AUS,1912,3.537934,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,1218.7,43.11679
AUS,1913,3.19618,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,1331.624,42.5611
AUS,1914,2.869869,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,1434.566,41.17016
AUS,1915,4.238439,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,1391.382,58.97286
AUS,1916,3.596282,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,1608.902,57.86066
AUS,1917,3.376995,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,1696.897,57.30414
AUS,1918,4.385654,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,1763.301,77.33228
AUS,1919,5.106627,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,1901.126,97.08342
AUS,1920,6.150648,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2080.427,127.9597
AUS,1921,5.334071,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2294.61,122.3961
AUS,1922,5.592716,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2287.992,127.9609
AUS,1923,5.214768,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2507.14,130.7415
AUS,1924,5.125455,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2605.118,133.5241
AUS,1925,4.864643,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2859.094,139.0847
AUS,1926,5.554314,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2754.58,152.998
AUS,1927,5.038746,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2870.676,144.6461
AUS,1928,4.990503,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2887.497,144.1006
AUS,1929,5.186642,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2842.548,147.4328
AUS,1930,4.493364,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2600.154,116.8344
AUS,1931,5.441415,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2136.875,116.2762
AUS,1932,6.092302,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2008.922,122.3896
AUS,1933,5.739247,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2098.82,120.4564
AUS,1934,5.782295,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2251.316,130.1777
AUS,1935,5.826402,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2377.615,138.5294
AUS,1936,5.492362,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2613.39,143.5368
AUS,1937,5.600873,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2850.821,159.6709
AUS,1938,5.322973,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,3083.288,164.1226
AUS,1939,6.447324,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,3020.138,194.7181
AUS,1940,8.12307,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,3287.627,267.0562
AUS,1941,10.54437,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,3561.458,375.5333
AUS,1942,13.82174,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,4145.796,573.0213
AUS,1943,14.77245,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,4745.302,700.9972
AUS,1944,16.32129,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,4823.342,787.2314
AUS,1945,19.27693,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,4718.828,909.645
AUS,1946,19.75068,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,4873.255,962.5011
AUS,1947,20.61349,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,5182.107,1068.213
AUS,1948,19.53943,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,6221.453,1215.636
AUS,1949,18.0557,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,7179.999,1296.399
AUS,1950,22.11282,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,8472.769,1873.568
AUS,1951,21.27314,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,9285.98,1975.419
AUS,1952,19.08927,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,9724.984,1856.428
AUS,1953,17.15215,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,10612.75,1820.314
AUS,1954,16.30213,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,11555.69,1883.824
AUS,1955,16.39967,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,12534.6,2055.632
AUS,1956,16.61697,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,13454.65,2235.754
AUS,1957,16.12992,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,13661.25,2203.55
AUS,1958,15.31093,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,14792.66,2264.895
AUS,1959,15.76055,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,16371.63,2580.26
AUS,1960,16.35324,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,17316,2831.728
AUS,1961,15.2485,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,17477,2664.98
AUS,1962,15.10628,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,18555,2802.97
AUS,1963,15.68231,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,20254,3176.295
AUS,1964,16.7031,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,22242,3715.104
AUS,1965,16.84358,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,23912,4027.638
AUS,1966,17.10934,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,25585,4377.424
AUS,1967,17.17081,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,28321,4862.946
AUS,1968,17.97547,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,30898,5554.06
AUS,1969,18.5285,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,34721,6433.279
AUS,1970,18.89274,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,38604,7293.352
AUS,1971,19.03822,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,42670,8123.607
AUS,1972,18.35589,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,46780,8586.885
AUS,1973,20.77631,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,55240,11476.83
AUS,1974,22.53325,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,65972,14865.64
AUS,1975,21.83035,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,77011,16811.77
AUS,1976,21.13965,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,90441,19118.91
AUS,1977,20.11999,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,100677,20256.2
AUS,1978,20.14512,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,111097,22380.62
AUS,1979,21.1067,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,127505,26912.09
AUS,1980,21.88214,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,143846,31476.58
AUS,1981,22.37833,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,164648,36845.47
AUS,1982,21.47778,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,183878,39492.9
AUS,1983,21.42932,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,199108,42667.49
AUS,1984,22.32555,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,224873,50204.14
AUS,1985,22.45091,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,249741,56069.13
AUS,1986,22.61418,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,271730,61449.52
AUS,1987,23.00965,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,305634,70325.3
AUS,1988,22.58696,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,345703,78083.78
AUS,1989,19.95064,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,388910,77590.04
AUS,1990,18.84595,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,413639,77954.22
AUS,1991,17.29514,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,416635,72057.61
AUS,1992,16.82265,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,432300,72724.34
AUS,1993,16.28218,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,455183,74113.7
AUS,1994,15.73553,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,482674,75951.3
AUS,1995,16.43848,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,512080,84178.19
AUS,1996,17.2187,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,543197,93531.48
AUS,1997,17.54942,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,573428,100633.3
AUS,1998,17.54192,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,605254,106173.2
AUS,1999,17.87885,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,638239,114109.8
AUS,2000,18.17922,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,687695,125017.6
AUS,2001,19.56637,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,730883,143007.3
AUS,2002,18.59543,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,782955,145593.9
AUS,2003,19.49313,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,830775,161944
AUS,2004,19.69324,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,895202,176294.3
AUS,2005,20.68252,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,964944,199574.8
AUS,2006,19.83839,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,1040321,206382.9
AUS,2007,20.42229,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,1133965,231581.6
AUS,2008,21.95324,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,1236693,271494.2
AUS,2009,20.86695,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,1263823,263721.3
AUS,2010,19.57736,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,1366328,267490.9
AUS,2011,19.64082,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1469072,288537.8
AUS,2012,20.89788,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1516083,316829.3
AUS,2013,21.50677,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1569948,337645.1
AUS,2014,21.7041,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1614274,350363.7
AUS,2015,21.68365,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1640094,355632.3
AUS,2016,21.7428,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1700005,369628.6
AUS,2017,21.56784,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1803571,388991.3
AUS,2018,22.57098,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1898400,428487.6
AUS,2019,22.88382,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1997461,457095.4
AUS,2020,22.7154,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,1979146,449570.9
AUS,2021,21.96433,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2206350,484609.9
AUS,2022,22.48371,Derived using data on central government tax revenue to GDP from IMF_GFS and the spliced GDP,2481141,557852.6
AUT,1913,.0013123,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,789.8423,.0103647
AUT,1914,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1915,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1916,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1917,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1918,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1919,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1920,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1921,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1922,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1923,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1924,8.099352,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,722.7213,58.53574
AUT,1925,7.745384,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,803.1104,62.20398
AUT,1926,8.346304,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,802.33,66.9649
AUT,1927,8.055805,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,867.1096,69.85265
AUT,1928,8.219178,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,911.5967,74.92576
AUT,1929,8.519438,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,943.5962,80.38909
AUT,1930,8.987889,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,902.231,81.09152
AUT,1931,9.855212,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,808.5738,79.68666
AUT,1932,9.790576,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,745.3552,72.97456
AUT,1933,9.62306,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,703.9899,67.74538
AUT,1934,10.22272,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,700.868,71.64775
AUT,1935,10.63457,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,713.3556,75.86232
AUT,1936,10.33262,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,727.4042,75.15989
AUT,1937,10.29532,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,766.428,78.90619
AUT,1938,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1939,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1940,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1941,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1942,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1943,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1944,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1945,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1946,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1947,,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,,
AUT,1948,11.97819,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,2505.33,300.0933
AUT,1949,14.47952,Derived using data on central government tax revenue to GDP from Mitchell and the spliced GDP,3238.978,468.9884
