ISO3,countryname,year,gen_govtax_GDP,ADB,AMECO,AMF,EUS,IMF_GFS,CS2,CS1,chainlinking_ratio,source,source_change,source_change_count
ARM,Armenia,2017,21.2609,21.00688,,,,21.260897,,,1,IMF_GFS,,
ARM,Armenia,2000,14.79153,14.791531,,,,,,,1,ADB,,
ARM,Armenia,2003,13.99979,13.999789,,,,,,,1,ADB,1,1
ARM,Armenia,2018,21.30656,21.057316,,,,21.306565,,,1,IMF_GFS,,
ARM,Armenia,2004,14.45262,13.996407,,,,14.452617,,,1,IMF_GFS,,
ARM,Armenia,2001,14.35601,14.356006,,,,,,,1,ADB,,
ARM,Armenia,2012,17.96032,18.032681,,,,17.960321,,,1,IMF_GFS,,
ARM,Armenia,2008,17.70871,17.406223,,,,17.708708,,,1,IMF_GFS,,
ARM,Armenia,2016,21.7615,21.52768,,,,21.761497,,,1,IMF_GFS,,
ARM,Armenia,2007,16.36806,16.697199,,,,16.368055,,,1,IMF_GFS,,
ARM,Armenia,2006,14.80935,14.499383,,,,14.80935,,,1,IMF_GFS,,
ARM,Armenia,2002,14.57784,14.577836,,,,,,,1,ADB,,
ARM,Armenia,2009,17.06365,16.626926,,,,17.063654,,,1,IMF_GFS,,
ARM,Armenia,2013,22.04985,22.047872,,,,22.049849,,,1,IMF_GFS,,
ARM,Armenia,2005,14.75774,14.335659,,,,14.757741,,,1,IMF_GFS,,
ARM,Armenia,2021,22.51159,22.65823,,,,22.511595,,,1,IMF_GFS,,
ARM,Armenia,2019,22.75939,22.567629,,,,22.759394,,,1,IMF_GFS,,
ARM,Armenia,2015,21.57493,21.2566,,,,21.574927,,,1,IMF_GFS,,
ARM,Armenia,2014,22.08018,22.167228,,,,22.08018,,,1,IMF_GFS,,
ARM,Armenia,2020,22.33672,22.506033,,,,22.336721,,,1,IMF_GFS,,
ARM,Armenia,2022,22.29962,22.395886,,,,22.299622,,,1,IMF_GFS,,
ARM,Armenia,2023,23.00005,22.967589,,,,23.000045,,,1,IMF_GFS,,
ARM,Armenia,2011,17.73577,17.827435,,,,17.735766,,,1,IMF_GFS,,
AUS,Australia,1954,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2023,28.11332,29.509556,,,,,,,.9526852,ADB,1,2
AUS,Australia,1864,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1992,26.16512,,,,,26.165116,,,1,IMF_GFS,,
AUS,Australia,1945,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2006,28.66266,29.795365,,,,28.662663,,,1,IMF_GFS,,
AUS,Australia,1942,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1988,26.87145,,,,,26.871447,,,1,IMF_GFS,,
AUS,Australia,1939,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1961,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1872,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1929,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1928,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2009,26.78848,26.858727,,,,26.788477,,,1,IMF_GFS,,
AUS,Australia,1940,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1855,4.446582,,,,,,4.446582,,1,CS2,,
AUS,Australia,1960,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2020,27.99624,27.801651,,,,27.996239,,,1,IMF_GFS,,
AUS,Australia,1918,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1852,2.727041,,,,,,2.727041,,1,CS2,,
AUS,Australia,1995,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1913,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1877,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2003,28.72242,29.685796,,,,28.722419,,,1,IMF_GFS,,
AUS,Australia,1949,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1905,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2000,28.55531,29.737397,,,,28.55531,,,1,IMF_GFS,,
AUS,Australia,2008,28.19421,29.524198,,,,28.194208,,,1,IMF_GFS,,
AUS,Australia,1901,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1900,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1899,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1862,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1896,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1956,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1863,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1892,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1920,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1985,26.23099,,,,,26.230986,,,1,IMF_GFS,,
AUS,Australia,1994,25.62152,,,,,25.621515,,,1,IMF_GFS,,
AUS,Australia,1869,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1880,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1878,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1937,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1875,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2016,27.29794,27.949541,,,,27.297936,,,1,IMF_GFS,,
AUS,Australia,1953,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1993,25.60313,,,,,25.603133,,,1,IMF_GFS,,
AUS,Australia,1914,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1952,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1916,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1912,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1857,4.942379,,,,,,4.942379,,1,CS2,,
AUS,Australia,1971,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1934,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2021,27.08252,28.39316,,,,27.082519,,,1,IMF_GFS,,
AUS,Australia,1859,4.573083,,,,,,4.573083,,1,CS2,,
AUS,Australia,1925,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1879,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1894,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1935,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1860,4.347095,,,,,,4.347095,,1,CS2,1,2
AUS,Australia,1895,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2007,28.25327,29.37679,,,,28.253273,,,1,IMF_GFS,,
AUS,Australia,1889,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1867,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1923,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1978,24.06914,,,,,24.069142,,,1,IMF_GFS,,
AUS,Australia,1870,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1997,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1881,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1854,3.659878,,,,,,3.659878,,1,CS2,,
AUS,Australia,1967,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1885,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1858,5.054399,,,,,,5.054399,,1,CS2,,
AUS,Australia,1911,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2017,27.01763,27.67012,,,,27.017628,,,1,IMF_GFS,,
AUS,Australia,1977,24.55491,,,,,24.554912,,,1,IMF_GFS,,
AUS,Australia,1887,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1924,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1987,26.86679,,,,,26.86679,,,1,IMF_GFS,,
AUS,Australia,1943,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1898,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1853,3.598374,,,,,,3.598374,,1,CS2,,
AUS,Australia,1931,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1976,23.47127,,,,,23.471274,,,1,IMF_GFS,,
AUS,Australia,1904,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1996,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1850,1.888372,,,,,,1.888372,,1,CS2,,
AUS,Australia,1964,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1947,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1979,23.08123,,,,,23.081232,,,1,IMF_GFS,,
AUS,Australia,1965,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1982,25.33564,,,,,25.335639,,,1,IMF_GFS,,
AUS,Australia,1871,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1886,,,,,,,,,1,IMF_GFS,,
AUS,Australia,2013,26.41188,26.9462,,,,26.411879,,,1,IMF_GFS,,
AUS,Australia,1999,28.22569,,,,,28.225689,,,1,IMF_GFS,,
AUS,Australia,1944,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1973,19.44094,,,,,19.440939,,,1,IMF_GFS,,
AUS,Australia,1897,,,,,,,,,1,IMF_GFS,,
AUS,Australia,1984,24.97655,,,,,24.976545,,,1,IMF_GFS,,
AUS,Australia,1876,,,,,,,,,1,IMF_GFS,,
